"doi","exemplar","type","key","value"
"EE8H39B5","1","length","total_length","65353"
"EE8H39B5","1","string_cronbach","locations_cronbach.start","21761"
"EE8H39B5","2","string_cronbach","locations_cronbach.start","22145"
"EE8H39B5","3","string_cronbach","locations_cronbach.start","22843"
"EE8H39B5","1","string_cronbach","locations_cronbach.end","21776"
"EE8H39B5","2","string_cronbach","locations_cronbach.end","22160"
"EE8H39B5","3","string_cronbach","locations_cronbach.end","22858"
"EE8H39B5","1","string_cronbach","post_cronbach","a of .759 with this measure. Semantic Differential "
"EE8H39B5","2","string_cronbach","post_cronbach","as obtained in the current study were .947 for nega"
"EE8H39B5","3","string_cronbach","post_cronbach","a of .868. IRAPs The IRAP is a computerized measure"
