doi,exemplar,alpha,all
10.1037_a0014418,7,0.8,"rnal consistency is adequate, with cronbach's alphas of the subscales of around .80. evidence has bee"
10.1037_0893-3200.15.1.124,3,0.7,"d = 6.48, α = .76; husbands m = 38.58, sd = 5.90, α =.70). neither the total as score nor the length"
10.1037_cou0000112,1,0.9,"&amp; lowry, 2002). in this study, cronbach’s alpha was .90.

#### procedure

analyses for this study"
10.1111_j.1939-0025.2012.01165.x,3,0.9,"e was good for each subscale, including urgency (α = .90), premeditation (α = .89), perseverance (α ="
10.1037_a0013809,17,0.9,externalizing problems (mothers α = .92; fathers α = .90; children α = .79). mothers' and fathers' r
10.1037_a0020334,4,0.9,"itive urgency), and values ranged from α = .81 to α = .90. in that study, the four scales showed good"
10.1037_0022-3514.68.6.1121,2,0.7,"p; moore, 1990). each item on this 16-item scale (α = .70) was answered using a 1 to 5 scale (1 = str"
10.1037_0022-0663.80.4.495,4,0.7,omposite 3: teacher report of emphasis on grades (α = .70). (a) i give grades on math homework assign
10.1037_h0079369,4,0.8,r criteria. both scales have an internal consistency reliability of .80. examples include: “to make i
10.1007_BF01501662,2,0.8,"nd 22.8 (all t1–t3, respectively). cronbach’s alphas for the e scale were .80, .84, and .86, for the"
10.1037_a0029395,8,0.8,"(ias-r; wiggins, trapnell, &amp; phillips, 1988), α = .80.

**big five personality dimensions**

extr"
10.1037_0021-9010.92.3.840,6,0.8,construct was measured with five modified items (α = .80) from moorman (1991). a sample item is “for
10.1037_1040-3590.20.2.93,7,0.9,"y had adequate internal consistency reliability (α = .90), consistent medium to high item-total corre"
10.1037_0012-1649.37.1.3,13,0.9,"worthless or inferior,” “too fearful or anxious”; α = .90 for boys and .91 for girls) and externalizi"
10.1037_a0037481,5,0.9,"n using the 32-item dyadic adjustment scale (das; α = .90 [men] and .93 [women]; spanier, 1976). item"
10.1037_0022-006X.76.1.104,3,0.8,"e”) indicate more gatekeeper efficacy (cronbach's α = .80). the second factor, gatekeeper reluctance,"
10.1037_0278-6133.17.4.358,15,0.7,ance. valuing community life is a six-item scale (α = .70) that assesses the degree to which the fami
10.1037_a0016595,7,0.8,"almost never) to 5 (almost daily). cronbach’s alpha of the scale was α = .80.

neuroticism was assess"
10.1037_0090-5550.51.3.202,3,0.7,"ween the ims and ems was r = –.30. cronbach's alpha for the ims was .70 and for the ems was .84.

**c"
10.1037_1076-898X.4.3.228,4,0.7,rding alternative goals. the volatility subscale (α = .70) assesses the ability to maintain focus on
10.1037_0022-0663.86.2.173,4,0.7,ademic social responsibility (3 items; cronbach's α = .70) subscales were used to assess goal pursuit
10.1037_0012-1649.21.6.1032,5,0.9,"rs were labeled aggression (mean, angry, fighter, α = .90); prosociability (nice, leader, helpful, α"
10.1037_a0039567,4,0.8,1 α = .86 and t2 α = .92) and avoidant coping (t1 α = .80 and t2 α = .86) have been found to relate t
10.1037_0022-0167.54.3.344,5,0.8,"nning, instrumental support, and religion scales; α = .80 for our sample); active emotional coping (v"
10.1037_lat0000014,1,0.8,g a greater sense of school belonging. cronbach’s α were .80 for urban students responding to the eng
10.1037_a0017384,2,0.9,ongly agree). bieschke reported a coefficient alpha of .90. item-total correlations for the roeq-r-s
10.1037_h0095193,2,0.9,"istency of this distress scale was satisfactory (α = 0.90).

results  


results of a one-way anova t"
10.1037_0021-843X.107.3.468,3,0.9,"ubscales, which yielded for adhd α = .94, for odd α = .90, and for cd α = .80.

comparison boys witho"
10.1037_1524-9220.6.1.46,1,0.9,"ty (r =.93) and internal consistency (coefficient α =.90; eisler, skidmore, &amp; ward, 1988). suppor"
10.1037_a0019063,10,0.9,"(goldberg, 1999; 10 items, response range = 1–5, α = .90, 95% ci [.85, .93]). bmi was derived from s"
10.1037_0021-9010.73.4.753,2,0.9,"nyone else,” reverse scored). the coefficient alpha of these two measures was .90 and .88, respective"
10.1037_a0023336,2,0.9,"from 1 (strongly disagree) to 6 (strongly agree; αs = .90, .88, and .84, for times 1 through 3, resp"
10.1037_abn0000118,15,0.8,"umbing (3 items; α = .74), hyperarousal (6 items; α = .80), dissociation (3 items; α = .56), panic ph"
10.1007_s10979-010-9233-5,1,0.8,"months. for the current study, the cronbach’s alpha for the atspphs was 0.80.

**thoughts about psych"
10.1037_0278-6133.18.5.464,3,0.8,d costs of condom use was measured by five items (α = .80) assessing beliefs that condoms reduce plea
10.1037_0021-9010.92.1.1,7,0.8,agree to strongly disagree. the internal consistency reliabilities for this scale were .80 and .77 fo
10.1037_a0022621,3,0.7,"vel of social adjustment during the past 2 weeks (α = .70; 54 items; weissman &amp; bothwell, 1976; h"
10.1037_cdp0000042,48,0.7,"ks: α = .59) and healthy foods (turkish migrants: α = .70, turks: α = .73)

data analysis was equival"
10.1037_fam0000132,7,0.9,"ged, with higher scores indicating greater anger (α = .90), more positive feelings toward former part"
10.1037_1064-1297.7.2.122,12,0.8,"williams, 1982) on generalized poor self-control (α = .80) was scored for subscales termed impatience"
10.1037_0021-9010.91.1.233,1,0.7,"gly disagree, 7 = strongly agree). cronbach's alpha of the measure was .70.

utilitarianism and forma"
10.1037_0022-3514.94.2.307,15,0.7,"< .001) and internal consistency were adequate (α = .70).

personality

both parents and children co"
10.1037_a0036673,2,0.7,"wanting and desire (content, happy, and pleased; αs = .70 and .81 for keeping and giving, respective"
10.1037_0022-3514.75.3.788,3,0.7,lot. regular exercise was assessed by four items (α = .70) asking how many hours each week are spent
10.1037_a0025878,3,0.8,ies of these scales were satisfactory (abstract: α = .80; figurative: α = .81). only a very small sub
10.1037_adb0000098,6,0.9,e in situations where others are using marijuana (α = .90). all intention items were assessed on a 7-
10.1037_0012-1649.27.1.131,6,0.8,"rench, rodgers, &amp; cobb, 1974). cronbach’s alpha for the entire scale was .80. the questionnaire w"
10.1037_hea0000297,3,0.9,"are drinking”); emotional relief (drse-emotional; α = .90; e.g., “when i am worried”); and opportunis"
10.1037_abn0000020,2,0.9,the bdi-ii in our study was uniformly high (t0: α = .90; t1: α = .89; t2: α = .91; t3: α = .90). we
10.1037_a0025774,1,0.8,in the complete sample (n = 431) (cronbach's alpha: openness to experience: .80; conscientiousness:
10.1037_a0031465,13,0.7,.71; αwife = .73; wives' reports: αhusband = .72; αwife = .70). both husbands and wives contributed 7
10.1037_a0015623,19,0.8,", positive thinking, and cognitive restructuring; α = .80); and disengagement coping, which is orient"
10.1037_0736-9735.22.2.224,12,0.9,"strongly agree (4). in our sample, cronbach's alpha for the 10 items was high (.90). third, participa"
10.1037_0012-1649.42.6.981,3,0.8,"rnalizing items, α = .87; 11 internalizing items, α = .80; zill &amp; peterson, 1985). responses were"
