doi,exemplar,alpha,all
10.1037_pas0000090,12,0.93,n subscale in chinese (α = .907) and in european (α = .926) had excellent internal consistency coeffi
10.1037_a0028342,1,0.89,"ore hostility in the relationship. cronbach's alpha was .89 for mothers' and fathers' reports.

two o"
10.1037_per0000132,5,0.87,"immediately after the game (t1: reflexive stage; α = .87), and 20 min after completing the experimen"
10.1037_a0023039,1,0.78,ted me personally” (reversed scored; cronbach alpha = .78). we included this questionnaire after the
10.1037_0021-843X.114.4.689,1,0.86,"ic and nonpsychiatric populations (cronbach's alpha = .86 and .81, respectively; beck, steer, &amp; g"
10.1037_0278-6133.15.2.75,2,0.93,"vely) on the six primary mood factors (cronbach's α = .93).

**mediating variables**

perceived lifet"
10.1111_ajop.12006,2,0.82,"reliability (r = .74) and internal consistency (α = .82).

**student engagement inventory (sei)**

t"
10.1037_0021-9010.92.2.356,1,0.93,"ly disagree; 5 = strongly agree). coefficient alpha was .93.

**objective fit**

kristof-brown et al."
10.1037_a0016141,1,0.83,"ency of the scale was excellent for adolescents (α = .83), mothers (α = .88), and fathers (α = .91)."
10.1007_BF01884018,4,0.65,ses subsequently summed to form a single measure (α = .65). they also rated the extent to which the s
10.1037_dev0000015,6,0.84,"nts to care for their well-being” (t1 α = .81, t2 α = .84, t3 α = .82). the third is openness to chan"
10.1037_0022-3514.92.4.745,7,0.92,"ms, α = .78), major depressive disorder (8 items, α = .92), and symptoms of posttraumatic stress diso"
10.1037_pspa0000029,8,0.43,"om the pretest did not form a reliable composite (α = .43), despite the virtual similarity between th"
10.1037_a0035186,5,0.66,= .94) and revenge motivations (trim–r; 5 items; α = .66). participants rated items on a 5-point rat
10.1037_a0015332,2,0.6,"ranged from .64 to .78, and the internal consistency was .60. previous comparisons of factor structur"
10.1037_0022-3514.81.2.193,7,0.55,"s (athletic α = .81, scientific α = .81, artistic α = .55). following guidelines for the analysis of"
10.1037_a0019006,3,0.91,"sessing negative affect (e.g., distressed, upset; α = .91). the panas was administered in “state” for"
10.1037_0022-0167.50.1.109,2,0.77,", 1990). in the current sample, internal consistency was.77. relative to validity, evidence shows tha"
10.1037_cdp0000064,6,0.6,"for fathers); and promotion of mistrust (4 items; α = .60 for mothers; α = .68 for fathers).

**perce"
