doi,exemplar,alpha,all,
10.1037_a0033581,3,0.79,by subtracting scores on the prevention subscale (α = .79) from scores on the promotion subscale (α =,
10.1037_0022-3514.75.4.917,1,0.94,their judgments were highly reliable (cronbach's α = .94). we categorized traits receiving a mean ra,
10.1037_0022-3514.85.5.945,6,0.85,ctations of maternal acceptance and responsivity (α =.85) and expectations of paternal acceptance and,
10.1111_j.1939-0025.2012.01169.x,4,0.92,"ios, 2000). in the present sample, cronbach’s alpha was .92 for the frequency index and .94 for the d",
10.1037_a0023114,3,0.93,d for both women with (α = .92) and without ptsd (α = .93); scale scores therefore could range from 0,
10.1037_fam0000051,2,0.86,"eated by averaging mothers’ and fathers’ reports (αs = .86, .73, and .52, for positive engagement, an",
10.1037_1040-3590.2.4.391,2,0.02,"on squared = .02, respectively. subsequent tests (α per comparison = .016) indicated that the two low","""subsequent tests (α per comparison = .016)"""
10.1037_0022-006X.67.6.945,2,0.91,"c studies depression scale (ces–d; radloff, 1977; α = .91 in the present sample). symptoms of crime-r",
10.1037_h0091693,1,0.88,"7). the scale was found to have a coefficient alpha of .88 in the sample under study.

#### suicidal",
10.1037_a0018671,1,0.93,"as, “i think about dieting”; the coefficient alphas in this sample were .93 for white women, .88 for",
10.1037_0022-3514.75.6.1459,2,0.83,"d the 10-item rosenberg (1965) self-esteem scale (α = .83; e.g., “i feel that i am a person of worth,",
10.1037_a0032687,4,0.92,"often measure (cann et al., 2010). cronbach’s alpha in the present study for the total score was .92.",
10.1037_a0018201,3,0.78,"α = .74), and 5th years of the study (cronbach's α = .78); for the analyses presented here, we used",
10.1037_aca0000022,12,0.63,"71), pa low (α = .642), and na (α = .760), na hi (α = .630), na med (α = .716), na low (α = .724). al",
10.1037_a0034733,3,0.97,"(α = .92), and 12 items load on the pa subscale (α = .97). the panas-c scales have demonstrated conv",
10.1037_a0018018,2,0.93,"rd &amp; henry, 2003). cronbach’s coefficient alpha for the depression scale was 0.93. furthermore, b",
10.1037_dev0000067,5,0.82,"s assessed by averaging four items (wave 1, 2, 3, α = .82, .83, .84): “students feel like they are an",
10.1037_2160-4134.1.S.2,5,0.71,", general connection (α = .78) and disconnection (α = .71) scores were computed by averaging the rele",
10.1037_a0020487,6,0.92,a et al. (1997) demonstrated an internal consistency of .92 and strong 2-week test–retest reliability,
10.1037_0893-164X.10.3.131,13,0.39,"e had less internal consistency than the others (α = .39).  
  
![adb-10-3-131-tbl4a.gif](http://larg",
10.1037_0022-3514.87.2.228,11,0.57,"uctive scale for women, which was somewhat lower (α =.57).

**daily measures**

daily marital satisfa",
10.1037_a0038375,7,0.91,e online supplemental material. internal consistency reliability was .91 for negative work rumination,
10.1037_0022-0167.53.4.474,18,0.91,"for the present study, cronbach’s coefficient alpha was .91 for scores of the phs-sf. retest reliabil",
10.1037_0012-1649.40.3.430,11,0.75,"l understanding and appreciation). cronbach's alphas were.75 and.81 for mothers and fathers, respecti",
10.1037_a0019897,3,0.91,"s depression symptom score. the internal consistency of the bdi-pc for our sample was .91.

alcohol u",
10.1037_0022-3514.73.1.160,3,0.86,"strength, and .98 with activeness. cronbach’s alpha was .86.

a regression equation was formed by ent",
10.1037_h0080287,5,0.63,s. inter-rater reliability was quite high (kappa = .63; 84% agreement). these clinical ratings were t,kappa = .63
10.1037_a0037413,7,0.67,"ities of the sss subscales (α = .55 to 0.80, mean α = .67), and for the total sss score (α = .84) wer",
