doi,exemplar,text,alpha,total_length_of_article
22CVJDRG,3,a of .68 for this subscale. In the current study Cr,0.68,37893
22CVJDRG,4,a was calculated as .68. The study included 216 uni,0.68,37893
22CVJDRG,5,"a (r ¼.57, p o.01), and mindfulness (r ¼ .57, p o.0",0.57,37893
2JKBSY5A,2,a = .24). Explicit Measures The overall mean scores,0.24,74367
2JKBSY5A,3,a = .81) and was almost twice that of the public 3-,0.81,74367
2MH2SINX,2,α = .83) at baseline. PT Personal feelings question,0.83,59331
2MH2SINX,3,α at baseline was .79. M Taylor manifest anxiety sc,0.79,59331
2MH2SINX,4,α at baseline was .73. Data Analysis A hierarchical,0.73,59331
2Q2SLTSV,2,as in the present study were .78 rush through activ,0.78,64090
2Q2SLTSV,3,"as were .83 for observe, .90 diﬀerent samples has b",0.83,64090
2Q2SLTSV,4,a in the present 2.4. Procedure study were .88 for,0.88,64090
2Q2SLTSV,5,a was .90 in the present study. assigned to the gro,0.9,64090
2TM8NZZC,2,a for the Capitalism questions was 0.95 and for the,0.95,72540
2TM8NZZC,3,a¼ 0.96). SDSs have been shown to be the best metho,0.96,72540
2UHZ6SLD,2,a scores in the current sample were 0.95 (pre-class,0.95,33479
322LCR6Q,2,a was .87 (overweight target3; 95% CI=.8–.91) and .,0.87,39341
34P44S9D,2,α = 0.95/0.95/0.94 Cronbach's α = 0.83/0.84/0.82 (e,0.95,82381
34P44S9D,3,α = 0.83/0.84/0.82 (experiment one/two/three) (expe,0.83,82381
34P44S9D,4,α = 0.89) on a scale from 1 (strongly disagree) to,0.89,82381
34P44S9D,5,α p b 0.001). After correcting for attenuation (Mur,0.001,82381
34P44S9D,6,α = 0.83; R2 = 12% explained): confront partner 2.2,0.83,82381
34P44S9D,7,"α = 0.95; R2 = 60%) contained: angry (0.87), hurt m",0.95,82381
34P44S9D,8,α = 0.86). We attempted to regress internal reactio,0.86,82381
34P44S9D,9,"α = 0.94; R2 = 60%) contained: angry (0.82), hurt (",0.94,82381
34P44S9D,10,"α (0.90) than did the covariates (0.83), which by t",0.9,82381
37HW7IWR,4,a = 0.97). The current study employed an 8-item ver,0.97,61766
37HW7IWR,5,"a of 0.87 (Evans & Dolan, 1993). Feeling thermomete",0.87,61766
3IIJ2CUH,2,a = .24). Explicit Measures The overall mean scores,0.24,74367
3IIJ2CUH,3,a = .81) and was almost twice that of the public 3-,0.81,74367
3IJX599L,2,"as of .89 and .88, To verify the basic assumptions",0.89,49573
3PR8ITCH,2,"a = .90–.95; Henry & Crawford, 2005). been asked to",0.9,61427
3W9NEPWU,2,"a of .592. “disaster”, “enemy”, “horrible”, and “te",0.592,63929
3XU9CTN3,2,a=.90-.91 (Spielberger et al. 1983). Internal uli (,0.9,53133
4E9V36XZ,2,"a ¼ .85 80% criterion), and 9416 participants' EAT-",0.85,83043
4E9V36XZ,4,"a ¼ .83 in the Banaji, 2003; Nosek, Bar-Anan, Srira",0.83,83043
4E9V36XZ,5,"a ¼ .90 in the current 3 21,304 total individuals c",0.9,83043
4NIVL67I,2,"a coefficient of the instrument was .88, while (CCL",0.88,70113
4X3CVT9W,4,a was 0.89 at age 11 and 0.88 at age 12. ing proble,0.89,60692
59ZQTGJY,2,a was .91 for the overall scale. 80 L.V. Dimaro et,0.91,67887
5IJD4STG,3,a for this study was .93. The future thinking task,0.93,44027
5IJD4STG,4,a was .88. Anxiety and depression The hospital anxi,0.88,44027
5IJD4STG,5,"a was .81 and .80 for anxiety and depression, respe",0.81,44027
5N6BZ6QR,2,"a, was reported as .81 overall, with subscale score",0.81,39751
5Z6F3B93,2,a of 0.91 in general 3 F.J. Ruiz et al. Journal of,0.91,81315
5Z6F3B93,3,"a of 0.95. The mean score (SD = 10.86), whereas the",0.95,81315
6H852SSP,2,a was .89 for the present sample. experiment invest,0.89,58139
6H852SSP,3,a was 0.89 for the they wanted to be informed about,0.89,58139
6H852SSP,4,a was .84 in the present sample. positive skewness,0.84,58139
6J8A9T4P,2,α = .77. The Attitudes to Autism Scale (AAS; Barnes,0.77,257298
6XFUBHUR,2,"a = .89; Wachtel et al., 2015) in previous research",0.89,58473
6XFUBHUR,3,a = .79; fearlessness about death and dying: Cronba,0.79,58473
6XFUBHUR,4,a = .89; sum score: Cronbach’s a = .81). The GCSQ s,0.89,58473
6XFUBHUR,5,a = .81). The GCSQ sum was used to operationalize C,0.81,58473
72TDAMG2,2,a was 0.89. Prior to the data collection all partic,0.89,35606
72TDAMG2,3,a was 0.89. Mean SD Range Min Max Impl. self-esteem,0.89,35606
