doi,exemplar,text,alpha,total_length_of_article
10.1007_BF01040443,1,NA,NA,78277
10.1007_BF01040444,1,NA,NA,36824
10.1007_BF01040445,1,NA,NA,53219
10.1007_BF01040446,1,NA,NA,49176
10.1007_BF01040447,1,NA,NA,26695
10.1007_BF01040448,1,NA,NA,22519
10.1007_BF01044219,1,NA,NA,32807
10.1007_BF01044220,1,NA,NA,100182
10.1007_BF01044220,2,a = .869) and analyzed using the set of contrasts i,0.869,100182
10.1007_BF01044221,1,NA,NA,40578
10.1007_BF01044222,1,NA,NA,52039
10.1007_BF01044223,1,NA,NA,68387
10.1007_BF01044224,1,NA,NA,61161
10.1007_BF01044225,1,NA,NA,39303
10.1007_BF01044286,1,NA,NA,74376
10.1007_BF01044287,1,NA,NA,35419
10.1007_BF01044288,1,NA,NA,40224
10.1007_BF01044289,1,NA,NA,57155
10.1007_BF01044290,1,NA,NA,34194
10.1007_BF01044291,1,NA,NA,58630
10.1007_BF01044292,1,NA,NA,25981
10.1007_BF01044374,1,NA,NA,105927
10.1007_BF01044375,1,NA,NA,77373
10.1007_BF01044376,1,NA,NA,52372
10.1007_BF01044377,1,NA,NA,29814
10.1007_BF01044378,1,NA,NA,64391
10.1007_BF01044379,1,NA,NA,20568
10.1007_BF01044380,1,NA,NA,14070
10.1007_BF01044381,1,NA,NA,13394
10.1007_BF01044382,1,NA,NA,55643
10.1007_BF01044383,1,NA,NA,89872
10.1007_BF01044383,2,a = .95) indicates that prior to their exposure to,0.95,89872
10.1007_BF01044383,3,a = .94) show that the judges neither expected nor,0.94,89872
10.1007_BF01044383,4,a = .85). Scores on this scaled variable show that,0.85,89872
10.1007_BF01044383,5,a = .93). This scaled variable is comprised of the,0.93,89872
10.1007_BF01044383,6,a = .82). Although the attorneys in non-question-as,0.82,89872
10.1007_BF01044383,7,"a, lawyers = .94; Cronbach’s alpha, judges = .89).",0.94,89872
10.1007_BF01044383,8,"a, judges = .89). For the lawyers, this scaled vari",0.89,89872
10.1007_BF01044383,9,a = .91) measuring the extent to which lawyers foun,0.91,89872
10.1007_BF01044384,1,NA,NA,60889
10.1007_BF01044385,1,NA,NA,30286
10.1007_BF01044386,1,NA,NA,50861
10.1007_BF01044387,1,NA,NA,27939
10.1007_BF01044388,1,NA,NA,23584
10.1007_BF01044389,1,NA,NA,57392
10.1007_BF01044390,1,NA,NA,171528
10.1007_BF01044474,1,NA,NA,59632
10.1007_BF01044475,1,NA,NA,47858
10.1007_BF01044476,1,NA,NA,36580
10.1007_BF01044477,1,NA,NA,60071
10.1007_BF01044478,1,NA,NA,31443
10.1007_BF01044479,1,NA,NA,50588
10.1007_BF01044480,1,NA,NA,28420
10.1007_BF01044502,1,NA,NA,13483
10.1007_BF01044503,1,NA,NA,49857
10.1007_BF01044504,1,NA,NA,85759
10.1007_BF01044505,1,NA,NA,49907
10.1007_BF01044506,1,NA,NA,46445
10.1007_BF01044507,1,NA,NA,36270
10.1007_BF01044508,1,NA,NA,46847
10.1007_BF01044509,1,NA,NA,42019
10.1007_BF01044510,1,NA,NA,69922
10.1007_BF01044511,1,NA,NA,52930
10.1007_BF01044512,1,NA,NA,30237
10.1007_BF01044513,1,NA,NA,54138
10.1007_BF01044513,2,"a = .77 (all items reversed)

How would you describ",0.77,54138
10.1007_BF01044514,1,NA,NA,28229
10.1007_BF01044533,1,NA,NA,34114
10.1007_BF01044534,1,NA,NA,51979
10.1007_BF01044535,1,NA,NA,43518
10.1007_BF01044536,1,NA,NA,53598
10.1007_BF01044537,1,NA,NA,67891
10.1007_BF01044538,1,NA,NA,31192
10.1007_BF01044539,1,NA,NA,21623
10.1007_BF01044540,1,NA,NA,49824
10.1007_BF01044540,2,"a = .90 and .92, respectively.

Subjects also answe",0.9,49824
10.1007_BF01044541,1,NA,NA,46944
10.1007_BF01044542,1,NA,NA,39173
10.1007_BF01044554,1,NA,NA,44574
10.1007_BF01044555,1,NA,NA,42445
10.1007_BF01044556,1,NA,NA,59026
10.1007_BF01044557,1,NA,NA,51978
10.1007_BF01044558,1,NA,NA,50888
10.1007_BF01044559,1,NA,NA,14100
10.1007_BF01044560,1,NA,NA,42359
10.1007_BF01044561,1,NA,NA,14539
10.1007_BF01044562,1,NA,NA,50283
10.1007_BF01044563,1,NA,NA,32660
10.1007_BF01044564,1,NA,NA,59885
10.1007_BF01044565,1,NA,NA,20313
10.1007_BF01044566,1,NA,NA,52237
10.1007_BF01044567,1,NA,NA,50660
10.1007_BF01044613,1,NA,NA,68390
10.1007_BF01044614,1,NA,NA,61104
10.1007_BF01044615,1,NA,NA,79151
10.1007_BF01044616,1,NA,NA,60435
10.1007_BF01044617,1,NA,NA,76347
10.1007_BF01044618,1,NA,NA,22429
10.1007_BF01044619,1,NA,NA,43374
10.1007_BF01044620,1,NA,NA,49706
10.1007_BF01044621,1,NA,NA,85744
10.1007_BF01044622,1,NA,NA,52580
10.1007_BF01044623,1,NA,NA,59101
10.1007_BF01044624,1,NA,NA,65421
10.1007_BF01044626,1,NA,NA,100696
10.1007_BF01044627,1,NA,NA,37629
10.1007_BF01044628,1,NA,NA,56230
10.1007_BF01044629,1,NA,NA,59825
10.1007_BF01044630,1,NA,NA,38178
10.1007_BF01044641,1,NA,NA,71172
10.1007_BF01044642,1,NA,NA,58280
10.1007_BF01044643,1,NA,NA,82943
10.1007_BF01044644,1,NA,NA,84440
10.1007_BF01044645,1,NA,NA,18787
10.1007_BF01044684,1,NA,NA,40588
10.1007_BF01044685,1,NA,NA,40543
10.1007_BF01044686,1,NA,NA,60415
10.1007_BF01044687,1,NA,NA,46205
10.1007_BF01044688,1,NA,NA,43096
10.1007_BF01044689,1,NA,NA,49953
10.1007_BF01044690,1,NA,NA,20446
10.1007_BF01044741,1,NA,NA,35143
10.1007_BF01044742,1,NA,NA,66436
10.1007_BF01044743,1,NA,NA,63406
10.1007_BF01044743,2,"as (i.e., .64 and .55 for instrumentality and princ",NA,63406
10.1007_BF01044744,1,NA,NA,55826
10.1007_BF01044745,1,NA,NA,74169
10.1007_BF01044768,1,NA,NA,12419
10.1007_BF01044769,1,NA,NA,54903
10.1007_BF01044770,1,NA,NA,64362
10.1007_BF01044771,1,NA,NA,64626
10.1007_BF01044772,1,NA,NA,85797
10.1007_BF01044773,1,NA,NA,63404
10.1007_BF01044774,1,NA,NA,79847
10.1007_BF01044794,1,NA,NA,75973
10.1007_BF01044795,1,NA,NA,58384
10.1007_BF01044796,1,NA,NA,29044
10.1007_BF01044797,1,NA,NA,56966
10.1007_BF01044798,1,NA,NA,49024
10.1007_BF01044799,1,NA,NA,46167
10.1007_BF01044800,1,NA,NA,40166
10.1007_BF01044801,1,NA,NA,28985
10.1007_BF01044826,1,NA,NA,35939
10.1007_BF01044827,1,NA,NA,58176
10.1007_BF01044828,1,NA,NA,38905
10.1007_BF01044829,1,NA,NA,44997
10.1007_BF01044830,1,NA,NA,60509
10.1007_BF01044831,1,NA,NA,50546
10.1007_BF01044832,1,NA,NA,13904
10.1007_BF01044833,1,NA,NA,12323
10.1007_BF01044835,1,NA,NA,52563
