"doi","exemplar","type","key","value"
"PUQDJLXH","1","length","total_length","61766"
"PUQDJLXH","1","string_cronbach","locations_cronbach.start","23144"
"PUQDJLXH","2","string_cronbach","locations_cronbach.start","24033"
"PUQDJLXH","3","string_cronbach","locations_cronbach.start","24381"
"PUQDJLXH","4","string_cronbach","locations_cronbach.start","24996"
"PUQDJLXH","5","string_cronbach","locations_cronbach.start","25312"
"PUQDJLXH","6","string_cronbach","locations_cronbach.start","36917"
"PUQDJLXH","7","string_cronbach","locations_cronbach.start","37428"
"PUQDJLXH","1","string_cronbach","locations_cronbach.end","23159"
"PUQDJLXH","2","string_cronbach","locations_cronbach.end","24048"
"PUQDJLXH","3","string_cronbach","locations_cronbach.end","24396"
"PUQDJLXH","4","string_cronbach","locations_cronbach.end","25011"
"PUQDJLXH","5","string_cronbach","locations_cronbach.end","25327"
"PUQDJLXH","6","string_cronbach","locations_cronbach.end","36932"
"PUQDJLXH","7","string_cronbach","locations_cronbach.end","37443"
"PUQDJLXH","1","string_cronbach","post_cronbach","a = 0.92) as well as construct validity (Sandoz et "
"PUQDJLXH","2","string_cronbach","post_cronbach","a is high across all subscales and ranges from 0.92"
"PUQDJLXH","3","string_cronbach","post_cronbach","a ranging from 0.87 to 0.94; Antony, Bieling, Cox, "
"PUQDJLXH","4","string_cronbach","post_cronbach","a = 0.97). The current study employed an 8-item ver"
"PUQDJLXH","5","string_cronbach","post_cronbach","a of 0.87 (Evans & Dolan, 1993). Feeling thermomete"
"PUQDJLXH","6","string_cronbach","post_cronbach","a ranges from 0.84 to 0.98 across 26 studies (Ferra"
"PUQDJLXH","7","string_cronbach","post_cronbach","a ranges from 0.75 to 0.89) and has high convergent"
