alpha,observed,predicted,residual,inflation,inflation_for_reporting,group_3_cutoffs,group_1_cutoff
0.01,5.5776181339520774e-5,3.3172958007149155e-5,2.260322333237162e-5,0.6813749719726641,68,non cutoff,non cutoff
0.02,2.231047253580831e-5,4.885047983952769e-5,-2.6540007303719383e-5,-0.5432906164054576,-54,non cutoff,non cutoff
0.03,1.0039712641113738e-4,6.037662484770035e-5,4.002050156343703e-5,0.6628476113792134,66,non cutoff,non cutoff
0.04,3.3465708803712466e-5,5.7188974658747016e-5,-2.372326585503455e-5,-0.4148223673635333,-41,non cutoff,non cutoff
0.05,6.693141760742493e-5,4.908936069554878e-5,1.7842056911876155e-5,0.36346077152098655,36,non cutoff,non cutoff
0.06,3.3465708803712466e-5,3.6642748078617124e-5,-3.1770392749046627e-6,-0.08670308427982287,-9,non cutoff,non cutoff
0.07,1.1155236267904154e-5,2.849325949329579e-5,-1.7338023225391637e-5,-0.608495606810836,-61,non cutoff,non cutoff
0.08,3.3465708803712466e-5,3.7641881565581576e-5,-4.176172761869109e-6,-0.11094484622383105,-11,non cutoff,non cutoff
0.09,6.693141760742493e-5,5.107963832540714e-5,1.5851779282017786e-5,0.310334603017991,31,non cutoff,non cutoff
0.1,5.5776181339520774e-5,5.1529301243985276e-5,4.246880095535493e-6,0.08241679962681836,8,non cutoff,non cutoff
0.11,3.3465708803712466e-5,4.607090730351229e-5,-1.260519849979982e-5,-0.27360430340035535,-27,non cutoff,non cutoff
0.12,5.5776181339520774e-5,4.308458123887036e-5,1.2691600100650417e-5,0.29457406189665414,29,non cutoff,non cutoff
0.13,3.3465708803712466e-5,3.638726023631003e-5,-2.9215514325975658e-6,-0.08029050314929209,-8,non cutoff,non cutoff
0.14,2.231047253580831e-5,3.085023797428883e-5,-8.539765438480527e-6,-0.27681360012839207,-28,non cutoff,non cutoff
0.15,3.3465708803712466e-5,3.236396078465857e-5,1.1017480190538997e-6,0.0340424346199355,3,non cutoff,non cutoff
0.16,4.462094507161662e-5,3.1746706378895695e-5,1.287423869272092e-5,0.4055299009310569,41,non cutoff,non cutoff
0.17,1.1155236267904154e-5,2.6089587781350397e-5,-1.4934351513446243e-5,-0.5724257369877555,-57,non cutoff,non cutoff
0.18,3.3465708803712466e-5,2.3852282852589107e-5,9.613425951123358e-6,0.40304007840825373,40,non cutoff,non cutoff
0.19,1.1155236267904154e-5,2.9854229494917393e-5,-1.869899322701324e-5,-0.6263431863212781,-63,non cutoff,non cutoff
0.2,3.3465708803712466e-5,5.7782513110144824e-5,-2.4316804306432358e-5,-0.4208332763249627,-42,non cutoff,non cutoff
0.21,1.45018071482754e-4,9.053109989093949e-5,5.4486971591814516e-5,0.6018591584268123,60,non cutoff,non cutoff
0.22,7.808665387532908e-5,9.466598974558291e-5,-1.6579335870253835e-5,-0.17513508193186578,-18,non cutoff,non cutoff
0.23,8.924189014323323e-5,8.715292794578204e-5,2.0889621974511804e-6,0.023968927340579205,2,non cutoff,non cutoff
0.24,8.924189014323323e-5,8.105180086790034e-5,8.190089275332892e-6,0.10104759163440735,10,non cutoff,non cutoff
0.25,4.462094507161662e-5,8.680748962658783e-5,-4.218654455497122e-5,-0.48597816543758354,-49,non cutoff,non cutoff
0.26,1.3386283521484986e-4,1.1572488492106067e-4,1.8137950293789195e-5,0.15673336211275224,16,non cutoff,non cutoff
0.27,1.673285440185623e-4,1.3097760362124034e-4,3.635094039732195e-5,0.2775355434234483,28,non cutoff,non cutoff
0.28,1.0039712641113738e-4,1.1753158525275076e-4,-1.713445884161339e-5,-0.14578599280155935,-15,non cutoff,non cutoff
0.29,7.808665387532908e-5,1.1511065214240498e-4,-3.7023998267075896e-5,-0.3216383330125956,-32,non cutoff,non cutoff
0.3,1.8963901655437063e-4,1.2552811147950382e-4,6.411090507486683e-5,0.5107294638566662,51,non cutoff,non cutoff
0.31,5.5776181339520774e-5,1.2993140931542074e-4,-7.415522797589997e-5,-0.5707259573848011,-57,non cutoff,non cutoff
0.32,1.8963901655437063e-4,1.5771313081403145e-4,3.192588574033917e-5,0.2024301056960489,20,non cutoff,non cutoff
0.33,1.7848378028646647e-4,1.9264965244026098e-4,-1.4165872153794508e-5,-0.07353178152339113,-7,non cutoff,non cutoff
0.34,2.5657043416179556e-4,2.0605881550602283e-4,5.051161865577275e-5,0.2451320441289071,25,non cutoff,non cutoff
0.35,1.673285440185623e-4,1.9073786982863323e-4,-2.3409325810070935e-5,-0.12273035150860623,-12,non cutoff,non cutoff
0.36,1.673285440185623e-4,1.7888018163974756e-4,-1.1551637621185253e-5,-0.06457751504551501,-6,non cutoff,non cutoff
0.37,1.7848378028646647e-4,1.9526703029398756e-4,-1.6783250007521116e-5,-0.08595024967734077,-9,non cutoff,non cutoff
0.38,2.1194948909017893e-4,2.4751556656250244e-4,-3.556607747232349e-5,-0.14369228556516822,-14,non cutoff,non cutoff
0.39,3.681227968408371e-4,3.168576585849752e-4,5.126513825586189e-5,0.16179232809079647,16,non cutoff,non cutoff
0.4,3.4581232430502877e-4,3.6886873720468034e-4,-2.3056412899651533e-5,-0.0625057386927802,-6,non cutoff,non cutoff
