alpha,observed,predicted,residual,inflation,inflation_for_reporting,group_3_cutoffs,group_1_cutoff
0.01,1.4966027118441138e-4,7.169092995689671e-5,7.796934122751467e-5,1.087576089114659,109,non cutoff,non cutoff
0.02,2.9932054236882276e-5,7.347769314606133e-5,-4.354563890917906e-5,-0.5926375345319786,-59,non cutoff,non cutoff
0.03,8.979616271064683e-5,6.93223197815178e-5,2.0473842929129016e-5,0.2953427264646675,30,non cutoff,non cutoff
0.04,5.986410847376455e-5,6.60676111161915e-5,-6.2035026424269495e-6,-0.09389627591524374,-9,non cutoff,non cutoff
0.05,5.986410847376455e-5,6.28997668928373e-5,-3.035658419072752e-6,-0.04826183893884084,-5,non cutoff,non cutoff
0.06,5.986410847376455e-5,6.534020243512169e-5,-5.476093961357146e-6,-0.08380895309889069,-8,non cutoff,non cutoff
0.07,8.979616271064683e-5,6.210703575231718e-5,2.7689126958329644e-5,0.44582914999765677,45,non cutoff,non cutoff
0.08,2.9932054236882276e-5,5.0870597155833e-5,-2.0938542918950725e-5,-0.4116040323806154,-41,non cutoff,non cutoff
0.1,2.394564338950582e-4,1.1875908881966756e-4,1.2069734507539064e-4,1.016320908782538,102,non cutoff,non cutoff
0.11,8.979616271064683e-5,9.707382502189489e-5,-7.277662311248063e-6,-0.07497038784251664,-7,non cutoff,non cutoff
0.13,5.986410847376455e-5,4.085535405495186e-5,1.9008754418812684e-5,0.4652696044010598,47,non cutoff,non cutoff
0.14,2.9932054236882276e-5,4.6353302727422253e-5,-1.642124849053998e-5,-0.3542627498865425,-35,non cutoff,non cutoff
0.15,5.986410847376455e-5,5.702332646951825e-5,2.8407820042463014e-6,0.0498178934854816,5,non cutoff,non cutoff
0.16,8.979616271064683e-5,6.3851366900125e-5,2.594479581052183e-5,0.40633109469847617,41,non cutoff,non cutoff
0.18,2.0952437965817593e-4,1.0994781300780844e-4,9.957656665036751e-5,0.9056711900517349,91,non cutoff,non cutoff
0.19,5.986410847376455e-5,1.1159092146763957e-4,-5.1726812993875027e-5,-0.46353961696494606,-46,non cutoff,non cutoff
0.2,1.197282169475291e-4,1.1480904095985736e-4,4.919175987671727e-6,0.042846590708755405,4,non cutoff,non cutoff
0.21,1.197282169475291e-4,1.3839651626438695e-4,-1.8668299316857844e-5,-0.1348899511400612,-13,non cutoff,non cutoff
0.22,2.0952437965817593e-4,1.5266805103217456e-4,5.685632862600137e-5,0.37241798949813654,37,non cutoff,non cutoff
