alpha,observed,predicted,residual,inflation,inflation_for_reporting,group_3_cutoffs,group_1_cutoff
0.01,4.4437861057621094e-5,2.1169766228941342e-5,2.3268094828679748e-5,1.0991191200245645,110,non cutoff,non cutoff
0.02,1.4812620352540365e-5,1.6865834824908857e-5,-2.0532144723684895e-6,-0.12173808730393443,-12,non cutoff,non cutoff
0.05,4.4437861057621094e-5,3.0186946916886064e-05,1.4250914140735028e-5,0.4720886209517039,47,non cutoff,non cutoff
0.06,4.4437861057621094e-5,3.762035689485888e-5,6.817504162762206e-6,0.18121848715618838,18,non cutoff,non cutoff
0.07,2.962524070508073e-5,3.7875010439693386e-5,-8.249769734612655e-6,-0.2178156425263138,-22,non cutoff,non cutoff
0.08,2.962524070508073e-5,4.6814829627929156e-5,-1.7189588922848423e-5,-0.3671825585923595,-37,non cutoff,non cutoff
0.09,1.0368834246778255e-4,5.113485279901863e-5,5.2553489668763934e-5,1.0277430517952428,103,non cutoff,non cutoff
0.11,1.4812620352540365e-5,2.0712651779944734e-5,-5.9000314274043685e-6,-0.28485157236685377,-28,non cutoff,non cutoff
0.12,2.962524070508073e-5,2.4894322311493974e-5,4.730918393586756e-6,0.19004005549500103,19,non cutoff,non cutoff
0.13,2.962524070508073e-5,3.050924876111201e-5,-8.840080560312781e-7,-0.028975084340918333,-3,non cutoff,non cutoff
0.14,2.962524070508073e-5,3.8571951393168356e-5,-8.946710688087626e-6,-0.2319486146006141,-23,non cutoff,non cutoff
0.15,5.925048141016146e-5,5.021491062596471e-5,9.035570784196753e-6,0.17993800390286308,18,non cutoff,non cutoff
0.16,5.925048141016146e-5,5.58816895992388e-5,3.368791810922662e-6,0.060284358527494364,6,non cutoff,non cutoff
0.17,5.925048141016146e-5,5.261491188586861e-5,6.635569524292856e-6,0.12611575856454182,13,non cutoff,non cutoff
0.18,2.962524070508073e-5,4.9893061237380175e-5,-2.026782053229945e-5,-0.4062252351257749,-41,non cutoff,non cutoff
0.19,7.406310176270182e-5,5.537752770585207e-5,1.868557405684975e-5,0.3374216009804847,34,non cutoff,non cutoff
0.2,2.962524070508073e-5,7.17382430717063e-5,-4.211300236662557e-5,-0.5870369911977258,-59,non cutoff,non cutoff
0.21,1.3331358317286327e-4,1.0201392498570985e-4,3.129965818715342e-5,0.30681750742889147,31,non cutoff,non cutoff
0.22,1.3331358317286327e-4,1.1661470479957027e-4,1.6698878373292997e-5,0.14319702135330137,14,non cutoff,non cutoff
0.23,8.887572211524219e-5,1.16623181282153e-4,-2.774745916691081e-5,-0.23792404616179885,-24,non cutoff,non cutoff
0.24,1.3331358317286327e-4,1.266369797157593e-4,6.6766034571039825e-6,0.05272238387309791,5,non cutoff,non cutoff
0.25,1.62938823877944e-4,1.285488840969995e-4,3.4389939780944503e-5,0.26752421868551424,27,non cutoff,non cutoff
