"doi","exemplar","type","key","value"
"6H852SSP","1","length","total_length","58139"
"6H852SSP","1","string_cronbach","locations_cronbach.start","14358"
"6H852SSP","2","string_cronbach","locations_cronbach.start","18837"
"6H852SSP","3","string_cronbach","locations_cronbach.start","20313"
"6H852SSP","4","string_cronbach","locations_cronbach.start","21480"
"6H852SSP","1","string_cronbach","locations_cronbach.end","14369"
"6H852SSP","2","string_cronbach","locations_cronbach.end","18848"
"6H852SSP","3","string_cronbach","locations_cronbach.end","20324"
"6H852SSP","4","string_cronbach","locations_cronbach.end","21491"
"6H852SSP","1","string_cronbach","post_cronbach","a was .87 for the present sample. ego-threats (Boss"
"6H852SSP","2","string_cronbach","post_cronbach","a was .89 for the present sample. experiment invest"
"6H852SSP","3","string_cronbach","post_cronbach","a was 0.89 for the they wanted to be informed about"
"6H852SSP","4","string_cronbach","post_cronbach","a was .84 in the present sample. positive skewness "
