doi,alpha
10.1007_BF01044220,TRUE
10.1007_BF01044224,TRUE
10.1007_BF01044383,TRUE
10.1007_BF01044389,TRUE
10.1007_BF01044511,TRUE
10.1007_BF01044513,TRUE
10.1007_BF01044540,TRUE
10.1007_BF01044743,TRUE
10.1007_BF01044794,TRUE
10.1007_BF01045937,TRUE
10.1007_BF01499136,TRUE
10.1007_BF01499338,TRUE
10.1007_BF01501662,TRUE
10.1007_s10979-005-2194-4,TRUE
10.1007_s10979-006-9004-5,TRUE
10.1007_s10979-006-9014-3,TRUE
10.1007_s10979-006-9017-0,TRUE
10.1007_s10979-006-9024-1,TRUE
10.1007_s10979-006-9043-y,TRUE
10.1007_s10979-006-9052-x,TRUE
10.1007_s10979-006-9057-5,TRUE
10.1007_s10979-006-9069-1,TRUE
10.1007_s10979-007-9087-7,TRUE
10.1007_s10979-007-9090-z,TRUE
10.1007_s10979-007-9099-3,TRUE
10.1007_s10979-007-9114-8,TRUE
10.1007_s10979-008-9131-2,TRUE
10.1007_s10979-008-9133-0,TRUE
10.1007_s10979-008-9144-x,TRUE
10.1007_s10979-008-9150-z,TRUE
10.1007_s10979-008-9156-6,TRUE
10.1007_s10979-008-9163-7,TRUE
10.1007_s10979-008-9164-6,TRUE
10.1007_s10979-008-9165-5,TRUE
10.1007_s10979-008-9170-8,TRUE
10.1007_s10979-008-9171-7,TRUE
10.1007_s10979-009-9185-9,TRUE
10.1007_s10979-009-9194-8,TRUE
10.1007_s10979-009-9196-6,TRUE
10.1007_s10979-009-9208-6,TRUE
10.1007_s10979-010-9219-3,TRUE
10.1007_s10979-010-9221-9,TRUE
10.1007_s10979-010-9228-2,TRUE
10.1007_s10979-010-9233-5,TRUE
10.1007_s10979-010-9239-z,TRUE
10.1007_s10979-010-9240-6,TRUE
10.1007_s10979-010-9249-x,TRUE
10.1007_s10979-010-9254-0,TRUE
10.1023_A:1005458919344,TRUE
10.1023_A:1005589011690,TRUE
10.1023_A:1005639909226,TRUE
10.1023_A:1009420619940,TRUE
10.1023_A:1010603618330,TRUE
10.1023_A:1010793810896,TRUE
10.1023_A:1013884804836,TRUE
10.1023_A:1020114224680,TRUE
10.1023_A:1020118425588,TRUE
10.1023_A:1020166208750,TRUE
10.1023_A:1020251921659,TRUE
10.1023_A:1022329119988,TRUE
10.1023_A:1022337321805,TRUE
10.1023_A:1022341522714,TRUE
10.1023_A:1022543012851,TRUE
10.1023_A:1022547213760,TRUE
10.1023_A:1023431823661,TRUE
10.1023_A:1023435924569,TRUE
10.1023_A:1024037100696,TRUE
10.1023_A:1025706606774,TRUE
10.1023_A:1025780806538,TRUE
10.1023_B:DREM.0000005910.62383.0b,TRUE
10.1037_0002-9432.71.4.436,TRUE
10.1037_0002-9432.71.4.457,TRUE
10.1037_0002-9432.72.1.102,TRUE
10.1037_0002-9432.72.1.128,TRUE
10.1037_0002-9432.72.2.163,TRUE
10.1037_0002-9432.72.3.383,TRUE
10.1037_0002-9432.72.3.392,TRUE
10.1037_0002-9432.72.3.415,TRUE
10.1037_0002-9432.72.4.469,TRUE
10.1037_0002-9432.72.4.476,TRUE
10.1037_0002-9432.72.4.492,TRUE
10.1037_0002-9432.72.4.505,TRUE
10.1037_0002-9432.72.4.539,TRUE
10.1037_0002-9432.73.1.101,TRUE
10.1037_0002-9432.73.1.44,TRUE
10.1037_0002-9432.73.1.55,TRUE
10.1037_0002-9432.73.2.133,TRUE
10.1037_0002-9432.73.2.212,TRUE
10.1037_0002-9432.73.2.223,TRUE
10.1037_0002-9432.73.3.255,TRUE
10.1037_0002-9432.73.3.279,TRUE
10.1037_0002-9432.74.3.230,TRUE
10.1037_0002-9432.74.3.253,TRUE
10.1037_0002-9432.74.3.263,TRUE
10.1037_0002-9432.74.3.272,TRUE
10.1037_0002-9432.74.4.413,TRUE
10.1037_0002-9432.74.4.467,TRUE
10.1037_0002-9432.74.4.529,TRUE
10.1037_0002-9432.74.4.559,TRUE
10.1037_0002-9432.75.1.102,TRUE
10.1037_0002-9432.75.1.117,TRUE
10.1037_0002-9432.75.2.211,TRUE
10.1037_0002-9432.75.2.254,TRUE
10.1037_0002-9432.75.2.262,TRUE
10.1037_0002-9432.75.3.431,TRUE
10.1037_0002-9432.75.4.497,TRUE
10.1037_0002-9432.75.4.599,TRUE
10.1037_0002-9432.75.4.621,TRUE
10.1037_0002-9432.76.1.103,TRUE
10.1037_0002-9432.76.1.120,TRUE
10.1037_0002-9432.76.1.128,TRUE
10.1037_0002-9432.76.1.13,TRUE
10.1037_0002-9432.76.1.80,TRUE
10.1037_0002-9432.76.2.265,TRUE
10.1037_0002-9432.76.3.367,TRUE
10.1037_0002-9432.76.4.423,TRUE
10.1037_0002-9432.76.4.503,TRUE
10.1037_0002-9432.76.4.512,TRUE
10.1037_0002-9432.76.4.518,TRUE
10.1037_0002-9432.77.1.10,TRUE
10.1037_0002-9432.77.1.113,TRUE
10.1037_0002-9432.77.1.165,TRUE
10.1037_0002-9432.77.1.38,TRUE
10.1037_0002-9432.77.1.76,TRUE
10.1037_0002-9432.77.1.86,TRUE
10.1037_0002-9432.77.2.182,TRUE
10.1037_0002-9432.77.2.189,TRUE
10.1037_0002-9432.77.2.221,TRUE
10.1037_0002-9432.77.2.231,TRUE
10.1037_0002-9432.77.2.332,TRUE
10.1037_0003-066X.42.5.435,TRUE
10.1037_0003-066X.42.9.840,TRUE
10.1037_0003-066X.43.1.23,TRUE
10.1037_0003-066X.53.5.568,TRUE
10.1037_0003-066X.53.9.1017,TRUE
10.1037_0003-066X.54.2.117,TRUE
10.1037_0003-066X.58.5.364,TRUE
10.1037_0003-066X.61.2.99,TRUE
10.1037_0008-400X.26.2.259,TRUE
10.1037_0008-400X.26.3.404,TRUE
10.1037_0008-400X.27.3.251,TRUE
10.1037_0008-400X.28.1.27,TRUE
10.1037_0008-400X.28.2.141,TRUE
10.1037_0008-400X.28.2.79,TRUE
10.1037_0008-400X.28.3.240,TRUE
10.1037_0008-400X.29.3.211,TRUE
10.1037_0008-400X.29.4.283,TRUE
10.1037_0008-400x.40.1.1.1,TRUE
10.1037_0008-400x.40.1.21,TRUE
10.1037_0008-400X.40.2.80,TRUE
10.1037_0008-400X.40.3.185,TRUE
10.1037_0012-1649.21.2.262,TRUE
10.1037_0012-1649.21.5.784,TRUE
10.1037_0012-1649.21.5.872,TRUE
10.1037_0012-1649.21.6.1016,TRUE
10.1037_0012-1649.21.6.1025,TRUE
10.1037_0012-1649.22.1.37,TRUE
10.1037_0012-1649.22.3.291,TRUE
10.1037_0012-1649.22.3.305,TRUE
10.1037_0012-1649.22.3.310,TRUE
10.1037_0012-1649.22.3.384,TRUE
10.1037_0012-1649.22.4.433,TRUE
10.1037_0012-1649.22.6.800,TRUE
10.1037_0012-1649.22.6.820,TRUE
10.1037_0012-1649.23.2.210,TRUE
10.1037_0012-1649.23.2.298,TRUE
10.1037_0012-1649.23.3.415,TRUE
10.1037_0012-1649.23.3.423,TRUE
10.1037_0012-1649.23.3.431,TRUE
10.1037_0012-1649.23.3.451,TRUE
10.1037_0012-1649.24.1.122,TRUE
10.1037_0012-1649.24.1.53,TRUE
10.1037_0012-1649.24.2.254,TRUE
10.1037_0012-1649.24.2.270,TRUE
10.1037_0012-1649.24.5.646,TRUE
10.1037_0012-1649.24.5.715,TRUE
10.1037_0012-1649.24.6.807,TRUE
10.1037_0012-1649.25.1.22,TRUE
10.1037_0012-1649.25.1.36,TRUE
10.1037_0012-1649.25.1.61,TRUE
10.1037_0012-1649.25.2.306,TRUE
10.1037_0012-1649.25.3.430,TRUE
10.1037_0012-1649.25.3.458,TRUE
10.1037_0012-1649.25.3.465,TRUE
10.1037_0012-1649.25.4.607,TRUE
10.1037_0012-1649.25.5.827,TRUE
10.1037_0012-1649.25.5.846,TRUE
10.1037_0012-1649.26.1.160,TRUE
10.1037_0012-1649.26.2.285,TRUE
10.1037_0012-1649.26.3.421,TRUE
10.1037_0012-1649.26.4.649,TRUE
10.1037_0012-1649.26.4.658,TRUE
10.1037_0012-1649.26.6.987,TRUE
10.1037_0012-1649.27.1.119,TRUE
10.1037_0012-1649.27.1.131,TRUE
10.1037_0012-1649.27.1.159,TRUE
10.1037_0012-1649.27.2.295,TRUE
10.1037_0012-1649.27.3.479,TRUE
10.1037_0012-1649.27.4.637,TRUE
10.1037_0012-1649.27.4.644,TRUE
10.1037_0012-1649.27.4.656,TRUE
10.1037_0012-1649.27.4.663,TRUE
10.1037_0012-1649.27.4.689,TRUE
10.1037_0012-1649.28.1.163,TRUE
10.1037_0012-1649.28.2.231,TRUE
10.1037_0012-1649.28.3.522,TRUE
10.1037_0012-1649.28.5.919,TRUE
10.1037_0012-1649.28.5.925,TRUE
10.1037_0012-1649.28.6.1030,TRUE
