"doi","exemplar","type","key","value"
"WJ6IKINW","1","length","total_length","148816"
"WJ6IKINW","1","string_cronbach","locations_cronbach.start","31012"
"WJ6IKINW","2","string_cronbach","locations_cronbach.start","31048"
"WJ6IKINW","3","string_cronbach","locations_cronbach.start","45180"
"WJ6IKINW","4","string_cronbach","locations_cronbach.start","45216"
"WJ6IKINW","1","string_cronbach","locations_cronbach.end","31023"
"WJ6IKINW","2","string_cronbach","locations_cronbach.end","31059"
"WJ6IKINW","3","string_cronbach","locations_cronbach.end","45191"
"WJ6IKINW","4","string_cronbach","locations_cronbach.end","45227"
"WJ6IKINW","1","string_cronbach","post_cronbach","α attitudes scale = .62, Cronbach’s α associations "
"WJ6IKINW","2","string_cronbach","post_cronbach","α associations scale = .47), with higher scores ind"
"WJ6IKINW","3","string_cronbach","post_cronbach","α attitudes scale = .68, Cronbach’s α associations "
"WJ6IKINW","4","string_cronbach","post_cronbach","α associations scale = .48). NIH-PA Author Manuscri"
