"doi","exemplar","type","key","value"
"QDXDYH7U","1","length","total_length","95228"
"QDXDYH7U","1","string_cronbach","locations_cronbach.start","32773"
"QDXDYH7U","2","string_cronbach","locations_cronbach.start","39176"
"QDXDYH7U","3","string_cronbach","locations_cronbach.start","56955"
"QDXDYH7U","4","string_cronbach","locations_cronbach.start","58487"
"QDXDYH7U","5","string_cronbach","locations_cronbach.start","69178"
"QDXDYH7U","6","string_cronbach","locations_cronbach.start","72060"
"QDXDYH7U","1","string_cronbach","locations_cronbach.end","32788"
"QDXDYH7U","2","string_cronbach","locations_cronbach.end","39189"
"QDXDYH7U","3","string_cronbach","locations_cronbach.end","56970"
"QDXDYH7U","4","string_cronbach","locations_cronbach.end","58502"
"QDXDYH7U","5","string_cronbach","locations_cronbach.end","69193"
"QDXDYH7U","6","string_cronbach","locations_cronbach.end","72075"
"QDXDYH7U","1","string_cronbach","post_cronbach","a for 2.2. Information sources each identiﬁed facto"
"QDXDYH7U","2","string_cronbach","post_cronbach","a Test retest reliability: Factors expert groups Pr"
"QDXDYH7U","3","string_cronbach","post_cronbach","a values for total SCS scale and subscale scores an"
"QDXDYH7U","4","string_cronbach","post_cronbach","a for the total tions with the SCS and intended sub"
"QDXDYH7U","5","string_cronbach","post_cronbach","a values were adequate for both sets, these values "
"QDXDYH7U","6","string_cronbach","post_cronbach","a though no single existing deﬁnition explicitly in"
