"doi","exemplar","type","key","value"
"7VNFEQTK","1","length","total_length","54653"
"7VNFEQTK","1","string_cronbach","locations_cronbach.start","484"
"7VNFEQTK","2","string_cronbach","locations_cronbach.start","1414"
"7VNFEQTK","3","string_cronbach","locations_cronbach.start","49665"
"7VNFEQTK","4","string_cronbach","locations_cronbach.start","51150"
"7VNFEQTK","5","string_cronbach","locations_cronbach.start","52096"
"7VNFEQTK","1","string_cronbach","locations_cronbach.end","499"
"7VNFEQTK","2","string_cronbach","locations_cronbach.end","1429"
"7VNFEQTK","3","string_cronbach","locations_cronbach.end","49680"
"7VNFEQTK","4","string_cronbach","locations_cronbach.end","51165"
"7VNFEQTK","5","string_cronbach","locations_cronbach.end","52107"
"7VNFEQTK","1","string_cronbach","post_cronbach","a: unstandardized alpha, α"" , based on the covarian"
"7VNFEQTK","2","string_cronbach","post_cronbach","a (Cronbach, 1951) is by far the most frequently al"
"7VNFEQTK","3","string_cronbach","post_cronbach","a. Psychometrika, 74, 107–120. Sijtsma, K. (2009b)."
"7VNFEQTK","4","string_cronbach","post_cronbach","a using the known problem, and the maximum is achie"
"7VNFEQTK","5","string_cronbach","post_cronbach","α, Revelle’s β, and McDonald’s ωH : Their relations"
