doi,exemplar,alpha,all
10.1037_a0021648,2,0.8,"nd depression. the subscale's reliabilities were α = .80 and α = .81, respectively.

**body image**

"
10.1037_0022-3514.64.2.293,7,0.8,"1986). internal consistency using cronbach's alpha in the present study was .80.

#### procedure

na"
10.1037_a0021343,9,0.7,"n the same way, as in studies 2 and 3 (cronbach's α = .70).

#### results

**primary analyses**

we p"
10.1037_a0036868,1,0.9,"009). in our study, the standardized cronbach alpha for the oahmq was 0.90 at baseline and 0.87 at fo"
10.1037_0022-3514.77.4.774,6,0.9,"ate self-esteem and perceived control (cronbach’s α = .90, .88, .81, and .80, respectively) yielded m"
10.1037_0090-5550.52.1.56,4,0.9,about carrying out the treatment; cronbach's alpha was .90 at baseline and .91 at posttreatment. sco
10.1037_a0012823,7,0.9,"mpetitive, stingy, vengeful, selfish” (cronbach's α = .90). participants could indicate how much they"
10.1037_sgd0000033,12,0.8,"im was .88. for the aim subscales, cronbach’s alphas were .80 for knowledge and skills items, .82 for"
10.1037_pha0000061,5,0.7,"nal impulsiveness factor (n = 124, cronbach’s alpha = .70), good for nonplanning impulsiveness (n = 1"
10.1111_j.1939-0025.2010.01060.x,6,0.9,"reliability (r = .89) and internal consistency (α = .90; mollica et al., 1992). the internal consist"
10.1037_a0023882,1,0.9,"the meim yielded high reliability for all waves: αs = .90, .90, .92, and .92 for waves 1, 2, 3, and 4"
10.1037_a0014982,2,0.8,mean across items in the analyses. cronbach’s alphas were .80 for older siblings and .79 for younger
10.1037_cdp0000043,11,0.7,consistency was found for both the independent (α = .70) and interdependent (α = .75) self-construal
10.1037_a0026643,1,0.9,internal consistency (cronbach's coefficient alpha) of the discrepancy score tends to be in the .90
10.1037_0022-3514.93.4.565,2,0.9,"reliability analysis for these items (cronbach's α = .90), the items were aggregated into a single c"
10.1037_0012-1649.28.3.522,2,0.9,depressive symptomatology. the internal consistency estimate for the ces-d with this sample was .90
10.1037_0022-3514.71.5.899,1,0.7,nce index was internally consistent (cronbach alphas = .70 for men and .74 for women). the index cons
10.1037_a0026733,2,0.8,"; brière, 1989; schumacher, 2003). cronbach's alpha was .80 in the present study.

**sociodemographic"
