"doi","exemplar","type","key","value"
"DIZCG9WF","1","length","total_length","57336"
"DIZCG9WF","1","string_cronbach","locations_cronbach.start","13907"
"DIZCG9WF","2","string_cronbach","locations_cronbach.start","15219"
"DIZCG9WF","3","string_cronbach","locations_cronbach.start","16446"
"DIZCG9WF","4","string_cronbach","locations_cronbach.start","17640"
"DIZCG9WF","1","string_cronbach","locations_cronbach.end","13922"
"DIZCG9WF","2","string_cronbach","locations_cronbach.end","15234"
"DIZCG9WF","3","string_cronbach","locations_cronbach.end","16461"
"DIZCG9WF","4","string_cronbach","locations_cronbach.end","17655"
"DIZCG9WF","1","string_cronbach","post_cronbach","a in the current sion); (d) pain (e.g., headache, b"
"DIZCG9WF","2","string_cronbach","post_cronbach","a in this current sample was .96. were deceased at "
"DIZCG9WF","3","string_cronbach","post_cronbach","a for remailed it to the forwarding address (if pro"
"DIZCG9WF","4","string_cronbach","post_cronbach","a in this current sample was .89. The primary indep"
